city,crime_type,location_type,latitude,longitude,month
London,anti-social-behaviour,Force,51.509491,-0.125924,2024-12
London,anti-social-behaviour,Force,51.512300,-0.128388,2024-12
London,anti-social-behaviour,Force,51.509396,-0.130626,2024-12
London,anti-social-behaviour,Force,51.500978,-0.125524,2024-12
London,anti-social-behaviour,Force,51.511783,-0.129778,2024-12
London,anti-social-behaviour,Force,51.500978,-0.125524,2024-12
London,anti-social-behaviour,Force,51.503496,-0.106473,2024-12
London,anti-social-behaviour,Force,51.509251,-0.133398,2024-12
London,anti-social-behaviour,Force,51.513064,-0.129438,2024-12
London,anti-social-behaviour,Force,51.511623,-0.125951,2024-12
London,anti-social-behaviour,Force,51.511534,-0.130495,2024-12
London,anti-social-behaviour,Force,51.509251,-0.133398,2024-12
London,anti-social-behaviour,Force,51.510942,-0.131196,2024-12
London,anti-social-behaviour,Force,51.503196,-0.127032,2024-12
London,anti-social-behaviour,Force,51.518405,-0.119302,2024-12
London,anti-social-behaviour,Force,51.493974,-0.126157,2024-12
London,anti-social-behaviour,Force,51.503196,-0.127032,2024-12
London,anti-social-behaviour,Force,51.513575,-0.142373,2024-12
London,anti-social-behaviour,Force,51.495936,-0.141491,2024-12
London,anti-social-behaviour,Force,51.509491,-0.125924,2024-12
London,anti-social-behaviour,Force,51.514408,-0.125780,2024-12
London,anti-social-behaviour,Force,51.502823,-0.119257,2024-12
London,anti-social-behaviour,Force,51.512059,-0.118929,2024-12
London,anti-social-behaviour,Force,51.509491,-0.125924,2024-12
London,anti-social-behaviour,Force,51.509251,-0.133398,2024-12
London,anti-social-behaviour,Force,51.509944,-0.127807,2024-12
London,anti-social-behaviour,Force,51.514012,-0.131078,2024-12
London,anti-social-behaviour,Force,51.506673,-0.108877,2024-12
London,anti-social-behaviour,Force,51.513090,-0.135043,2024-12
London,anti-social-behaviour,Force,51.514286,-0.132818,2024-12
London,anti-social-behaviour,Force,51.504925,-0.124886,2024-12
London,anti-social-behaviour,Force,51.494110,-0.126785,2024-12
London,anti-social-behaviour,Force,51.508990,-0.141882,2024-12
London,anti-social-behaviour,Force,51.507097,-0.130864,2024-12
London,anti-social-behaviour,Force,51.499894,-0.132899,2024-12
London,anti-social-behaviour,Force,51.500978,-0.125524,2024-12
London,anti-social-behaviour,Force,51.515088,-0.140222,2024-12
London,anti-social-behaviour,Force,51.513601,-0.131534,2024-12
London,anti-social-behaviour,Force,51.514536,-0.140043,2024-12
London,anti-social-behaviour,Force,51.494818,-0.117089,2024-12
London,anti-social-behaviour,Force,51.506610,-0.135250,2024-12
London,anti-social-behaviour,Force,51.506985,-0.124975,2024-12
London,anti-social-behaviour,Force,51.504717,-0.148022,2024-12
London,anti-social-behaviour,Force,51.513470,-0.136339,2024-12
London,anti-social-behaviour,Force,51.507576,-0.141776,2024-12
London,anti-social-behaviour,Force,51.506334,-0.136010,2024-12
London,anti-social-behaviour,Force,51.507159,-0.105571,2024-12
London,anti-social-behaviour,Force,51.499042,-0.111930,2024-12
London,anti-social-behaviour,Force,51.516341,-0.120151,2024-12
London,anti-social-behaviour,Force,51.507725,-0.125708,2024-12
London,anti-social-behaviour,Force,51.513288,-0.147530,2024-12
London,anti-social-behaviour,Force,51.515939,-0.132693,2024-12
London,anti-social-behaviour,Force,51.500211,-0.126492,2024-12
London,anti-social-behaviour,Force,51.503196,-0.127032,2024-12
London,anti-social-behaviour,Force,51.507243,-0.145729,2024-12
London,anti-social-behaviour,Force,51.506342,-0.125794,2024-12
London,anti-social-behaviour,Force,51.511022,-0.119880,2024-12
London,anti-social-behaviour,Force,51.499488,-0.118410,2024-12
London,anti-social-behaviour,Force,51.507159,-0.105571,2024-12
London,anti-social-behaviour,Force,51.515004,-0.125352,2024-12
London,anti-social-behaviour,Force,51.507725,-0.125708,2024-12
London,anti-social-behaviour,Force,51.512059,-0.118929,2024-12
London,anti-social-behaviour,Force,51.501162,-0.116252,2024-12
London,anti-social-behaviour,Force,51.515004,-0.125352,2024-12
London,anti-social-behaviour,Force,51.510468,-0.130769,2024-12
London,anti-social-behaviour,Force,51.496320,-0.138508,2024-12
London,anti-social-behaviour,Force,51.514211,-0.126984,2024-12
London,anti-social-behaviour,Force,51.495415,-0.130794,2024-12
London,anti-social-behaviour,Force,51.511022,-0.119880,2024-12
London,anti-social-behaviour,Force,51.500253,-0.126317,2024-12
London,anti-social-behaviour,Force,51.513724,-0.111756,2024-12
London,anti-social-behaviour,Force,51.515984,-0.118595,2024-12
London,anti-social-behaviour,Force,51.510468,-0.130769,2024-12
London,anti-social-behaviour,Force,51.514286,-0.132818,2024-12
London,anti-social-behaviour,Force,51.504066,-0.110037,2024-12
London,anti-social-behaviour,Force,51.511312,-0.136326,2024-12
London,anti-social-behaviour,Force,51.507623,-0.130006,2024-12
London,anti-social-behaviour,Force,51.513150,-0.138845,2024-12
London,anti-social-behaviour,Force,51.517265,-0.125071,2024-12
London,anti-social-behaviour,Force,51.512980,-0.124210,2024-12
London,anti-social-behaviour,Force,51.509929,-0.138703,2024-12
London,anti-social-behaviour,Force,51.515753,-0.143092,2024-12
London,anti-social-behaviour,Force,51.506736,-0.126800,2024-12
London,anti-social-behaviour,Force,51.510295,-0.132318,2024-12
London,anti-social-behaviour,Force,51.510468,-0.130769,2024-12
London,anti-social-behaviour,Force,51.513150,-0.138845,2024-12
London,anti-social-behaviour,Force,51.519933,-0.133899,2024-12
London,anti-social-behaviour,Force,51.518687,-0.117820,2024-12
London,anti-social-behaviour,Force,51.514867,-0.138790,2024-12
London,anti-social-behaviour,Force,51.513205,-0.124229,2024-12
London,anti-social-behaviour,Force,51.510468,-0.130769,2024-12
London,anti-social-behaviour,Force,51.507243,-0.145729,2024-12
London,anti-social-behaviour,Force,51.516875,-0.141807,2024-12
London,anti-social-behaviour,Force,51.495183,-0.139952,2024-12
London,anti-social-behaviour,Force,51.518951,-0.116354,2024-12
London,anti-social-behaviour,Force,51.500978,-0.125524,2024-12
London,anti-social-behaviour,Force,51.514684,-0.140844,2024-12
London,anti-social-behaviour,Force,51.498553,-0.135291,2024-12
London,anti-social-behaviour,Force,51.513205,-0.124229,2024-12
London,anti-social-behaviour,Force,51.514537,-0.128196,2024-12
London,anti-social-behaviour,Force,51.517114,-0.119009,2024-12
London,anti-social-behaviour,Force,51.507394,-0.128042,2024-12
London,anti-social-behaviour,Force,51.498335,-0.131193,2024-12
London,anti-social-behaviour,Force,51.505618,-0.148735,2024-12
London,anti-social-behaviour,Force,51.517596,-0.135680,2024-12
London,anti-social-behaviour,Force,51.510729,-0.135283,2024-12
London,anti-social-behaviour,Force,51.504507,-0.110609,2024-12
London,anti-social-behaviour,Force,51.496949,-0.135630,2024-12
London,anti-social-behaviour,Force,51.509962,-0.137952,2024-12
London,anti-social-behaviour,Force,51.506270,-0.137627,2024-12
London,anti-social-behaviour,Force,51.500978,-0.125524,2024-12
London,anti-social-behaviour,Force,51.516001,-0.122471,2024-12
London,anti-social-behaviour,Force,51.512166,-0.123818,2024-12
London,anti-social-behaviour,Force,51.513205,-0.124229,2024-12
London,anti-social-behaviour,Force,51.510623,-0.126987,2024-12
London,anti-social-behaviour,Force,51.510642,-0.149698,2024-12
London,anti-social-behaviour,Force,51.507725,-0.125708,2024-12
London,anti-social-behaviour,Force,51.514064,-0.118890,2024-12
London,anti-social-behaviour,Force,51.515088,-0.140222,2024-12
London,anti-social-behaviour,Force,51.504507,-0.110609,2024-12
London,anti-social-behaviour,Force,51.516275,-0.126121,2024-12
London,anti-social-behaviour,Force,51.510042,-0.120439,2024-12
London,anti-social-behaviour,Force,51.502888,-0.117319,2024-12
London,anti-social-behaviour,Force,51.503196,-0.127032,2024-12
London,anti-social-behaviour,Force,51.521458,-0.130305,2024-12
