category,location_type,location,context,outcome_status,persistent_id,id,location_subtype,month,city
anti-social-behaviour,Force,"{'latitude': '51.509491', 'street': {'id': 1678539, 'name': 'On or near William Iv Street'}, 'longitude': '-0.125924'}",,,,125213997,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.512300', 'street': {'id': 1678389, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-0.128388'}",,,,125217447,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.509396', 'street': {'id': 1678091, 'name': 'On or near Orange Street'}, 'longitude': '-0.130626'}",,,,125217418,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.500978', 'street': {'id': 1678704, 'name': 'On or near Bridge Street'}, 'longitude': '-0.125524'}",,,,125002694,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.511783', 'street': {'id': 1678199, 'name': 'On or near Nightclub'}, 'longitude': '-0.129778'}",,,,125216417,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.500978', 'street': {'id': 1678704, 'name': 'On or near Bridge Street'}, 'longitude': '-0.125524'}",,,,125005211,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.503496', 'street': {'id': 1681772, 'name': 'On or near Hatfields'}, 'longitude': '-0.106473'}",,,,125218950,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.509251', 'street': {'id': 1677545, 'name': ""On or near St James's Market""}, 'longitude': '-0.133398'}",,,,125210075,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.513064', 'street': {'id': 1678198, 'name': 'On or near Shaftesbury Avenue'}, 'longitude': '-0.129438'}",,,,125210729,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.511623', 'street': {'id': 1678738, 'name': 'On or near Rose Street'}, 'longitude': '-0.125951'}",,,,125219855,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.511534', 'street': {'id': 1678076, 'name': 'On or near Lisle Street'}, 'longitude': '-0.130495'}",,,,125219520,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.509251', 'street': {'id': 1677545, 'name': ""On or near St James's Market""}, 'longitude': '-0.133398'}",,,,125217111,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.510942', 'street': {'id': 1677925, 'name': 'On or near Leicester Street'}, 'longitude': '-0.131196'}",,,,125217738,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.503196', 'street': {'id': 1678183, 'name': 'On or near Downing Street'}, 'longitude': '-0.127032'}",,,,125218555,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.518405', 'street': {'id': 1679695, 'name': 'On or near Procter Street'}, 'longitude': '-0.119302'}",,,,125211771,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.493974', 'street': {'id': 1678689, 'name': 'On or near Thorney Street'}, 'longitude': '-0.126157'}",,,,125211856,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.503196', 'street': {'id': 1678183, 'name': 'On or near Downing Street'}, 'longitude': '-0.127032'}",,,,125212510,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.513575', 'street': {'id': 1676335, 'name': 'On or near Pollen Street'}, 'longitude': '-0.142373'}",,,,125213077,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.495936', 'street': {'id': 1676456, 'name': 'On or near Carlisle Place'}, 'longitude': '-0.141491'}",,,,125216626,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.509491', 'street': {'id': 1678539, 'name': 'On or near William Iv Street'}, 'longitude': '-0.125924'}",,,,125216406,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.514408', 'street': {'id': 1678779, 'name': 'On or near Neal Street'}, 'longitude': '-0.125780'}",,,,125216347,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.502823', 'street': {'id': 1679478, 'name': 'On or near Theme/adventure Park'}, 'longitude': '-0.119257'}",,,,125219099,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.512059', 'street': {'id': 1679743, 'name': 'On or near A301'}, 'longitude': '-0.118929'}",,,,125213396,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.509491', 'street': {'id': 1678539, 'name': 'On or near William Iv Street'}, 'longitude': '-0.125924'}",,,,125213430,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.509251', 'street': {'id': 1677545, 'name': ""On or near St James's Market""}, 'longitude': '-0.133398'}",,,,125213606,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.509944', 'street': {'id': 1678386, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-0.127807'}",,,,125219087,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.514012', 'street': {'id': 1677997, 'name': 'On or near Nightclub'}, 'longitude': '-0.131078'}",,,,125214247,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.506673', 'street': {'id': 1681427, 'name': 'On or near Duchy Street'}, 'longitude': '-0.108877'}",,,,125218486,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.513090', 'street': {'id': 1677384, 'name': 'On or near Hopkins Street'}, 'longitude': '-0.135043'}",,,,125216345,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.514286', 'street': {'id': 1677663, 'name': 'On or near Chapone Place'}, 'longitude': '-0.132818'}",,,,125216592,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.504925', 'street': {'id': 1678852, 'name': 'On or near Horse Guards Avenue'}, 'longitude': '-0.124886'}",,,,125218391,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.494110', 'street': {'id': 1678446, 'name': 'On or near Dean Ryle Street'}, 'longitude': '-0.126785'}",,,,125217246,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.508990', 'street': {'id': 1676361, 'name': 'On or near Albemarle Street'}, 'longitude': '-0.141882'}",,,,125225619,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.507097', 'street': {'id': 1677926, 'name': 'On or near Parking Area'}, 'longitude': '-0.130864'}",,,,125225543,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.499894', 'street': {'id': 1677725, 'name': 'On or near Shopping Area'}, 'longitude': '-0.132899'}",,,,125225208,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.500978', 'street': {'id': 1678704, 'name': 'On or near Bridge Street'}, 'longitude': '-0.125524'}",,,,125224659,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.515088', 'street': {'id': 1676649, 'name': 'On or near Hills Place'}, 'longitude': '-0.140222'}",,,,125217812,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.513601', 'street': {'id': 1677939, 'name': 'On or near Frith Street'}, 'longitude': '-0.131534'}",,,,125224406,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.514536', 'street': {'id': 1676666, 'name': 'On or near Nightclub'}, 'longitude': '-0.140043'}",,,,125222785,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.494818', 'street': {'id': 1679973, 'name': 'On or near Pratt Walk'}, 'longitude': '-0.117089'}",,,,125222320,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.506610', 'street': {'id': 1677297, 'name': ""On or near St James's Square""}, 'longitude': '-0.135250'}",,,,125222193,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.506985', 'street': {'id': 1678839, 'name': 'On or near Northumberland Avenue'}, 'longitude': '-0.124975'}",,,,125221984,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.504717', 'street': {'id': 1675503, 'name': 'On or near Down Street Mews'}, 'longitude': '-0.148022'}",,,,125220682,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.513470', 'street': {'id': 1677129, 'name': 'On or near Broadwick Street'}, 'longitude': '-0.136339'}",,,,125220117,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.507576', 'street': {'id': 1676403, 'name': 'On or near Nightclub'}, 'longitude': '-0.141776'}",,,,125219695,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.506334', 'street': {'id': 1677193, 'name': 'On or near Conference/exhibition Centre'}, 'longitude': '-0.136010'}",,,,125218334,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.507159', 'street': {'id': 1682020, 'name': 'On or near Rennie Street'}, 'longitude': '-0.105571'}",,,,125214975,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.499042', 'street': {'id': 1680867, 'name': 'On or near Lambeth North'}, 'longitude': '-0.111930'}",,,,125218670,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.516341', 'street': {'id': 1679597, 'name': 'On or near Nightclub'}, 'longitude': '-0.120151'}",,,,125218648,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.507725', 'street': {'id': 1678750, 'name': 'On or near Corner House Street'}, 'longitude': '-0.125708'}",,,,125215216,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.513288', 'street': {'id': 1675603, 'name': 'On or near South Molton Lane'}, 'longitude': '-0.147530'}",,,,125217245,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.515939', 'street': {'id': 1677739, 'name': 'On or near Soho Street'}, 'longitude': '-0.132693'}",,,,125217212,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.500211', 'street': {'id': 1678547, 'name': 'On or near A302'}, 'longitude': '-0.126492'}",,,,125219826,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.503196', 'street': {'id': 1678183, 'name': 'On or near Downing Street'}, 'longitude': '-0.127032'}",,,,125217197,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.507243', 'street': {'id': 1675873, 'name': 'On or near Clarges Street'}, 'longitude': '-0.145729'}",,,,125216143,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.506342', 'street': {'id': 1678767, 'name': 'On or near Great Scotland Yard'}, 'longitude': '-0.125794'}",,,,125218329,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.511022', 'street': {'id': 1679585, 'name': 'On or near Strand'}, 'longitude': '-0.119880'}",,,,125218311,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.499488', 'street': {'id': 1679222, 'name': 'On or near Hospital'}, 'longitude': '-0.118410'}",,,,125216133,,2024-12,London
anti-social-behaviour,Force,"{'latitude': '51.507159', 'street': {'id': 1682020, 'name': 'On or near Rennie Street'}, 'longitude': '-0.105571'}",,,,125219483,,2024-12,London
